Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Volume,Taker Buy Quote Volume,Ignore
2025-01-14 10:30:00,97045,97400,96600,97045,5.188,2025-01-14 10:34:59,501881.5554,147,0.731,71143.0383,0
2025-01-14 10:35:00,97245,97400,96600,96600.1,14.172,2025-01-14 10:39:59,1372325.5918,179,4.311,419200.5779,0
2025-01-14 10:40:00,96600.1,97429.3,96500,96845,19.784,2025-01-14 10:44:59,1914211.0637,253,5.571,542420.4857,0
2025-01-14 10:45:00,97045,97429.3,96500,96645,8.391,2025-01-14 10:49:59,813682.4138,149,4.05,394397.6655,0
2025-01-14 10:50:00,96845,97429.3,96500,97429.2,6.782,2025-01-14 10:54:59,658687.2894,175,4.67,454794.2784,0
2025-01-14 10:55:00,97245,97429.3,96500,97075.6,20.978,2025-01-14 10:59:59,2034777.9544,252,10.796,1051744.4194,0
2025-01-14 11:00:00,97245,97429.3,96500,97429.2,11.265,2025-01-14 11:04:59,1090104.4105,127,4.119,400239.2448,0
2025-01-14 11:05:00,97429.2,97429.2,96500,96645,5.536,2025-01-14 11:09:59,537329.2887,140,2.97,289285.3037,0
2025-01-14 11:10:00,96500.1,97429.3,96500,97363.3,19.109,2025-01-14 11:14:59,1847911.08,155,3.584,349106.1494,0
2025-01-14 11:15:00,97382.7,97429.2,96600,97044.9,4.39,2025-01-14 11:19:59,425935.7448,113,2.615,254211.5149,0
2025-01-14 11:20:00,97045,97429.2,96600,97075.7,10.119,2025-01-14 11:24:59,982691.2532,121,5.406,526141.0055,0
2025-01-14 11:25:00,97245,97429.3,96600,96845,19.718,2025-01-14 11:29:59,1915562.3154,210,12.602,1227679.6835,0
2025-01-14 11:30:00,96845,97429.3,96500,96645,9.704,2025-01-14 11:34:59,938260.4078,188,1.958,190587.1863,0
2025-01-14 11:35:00,96845,97429.3,96500,97429.2,3.972,2025-01-14 11:39:59,385314.1927,198,2.163,210629.2719,0
2025-01-14 11:40:00,97245,97429.3,96500,96955,7.311,2025-01-14 11:44:59,709479.0314,143,2.123,206797.7368,0
2025-01-14 11:45:00,97045,97429.3,96500.1,97045,11.591,2025-01-14 11:49:59,1127682.9442,178,9.995,973544.827,0
2025-01-14 11:50:00,96845,97429.3,96500.1,97399.9,2.072,2025-01-14 11:54:59,201100.7857,104,1.133,110258.11,0
2025-01-14 11:55:00,97245,97245,96710,97075.6,1.16,2025-01-14 11:59:59,112531.3704,63,0.584,56690.3998,0
2025-01-14 12:00:00,97075.6,97400,96600,97045,3.11,2025-01-14 12:04:59,301582.1906,120,1.371,133481.7957,0
2025-01-14 12:05:00,96845,97400,96600,96835.1,6.366,2025-01-14 12:09:59,617408.3505,177,2.271,221158.8159,0
2025-01-14 12:10:00,96845,97400,96600,96850.9,3.683,2025-01-14 12:14:59,357640.8259,91,2.385,232221.8478,0
2025-01-14 12:15:00,97045,97400,96600,97245,3.611,2025-01-14 12:19:59,350342.47,165,1.772,172544.0239,0
2025-01-14 12:20:00,97399.9,97400,96600,96845,10.425,2025-01-14 12:24:59,1010909.3204,131,4.78,465472.6459,0
2025-01-14 12:25:00,97063,97399.9,96600,97198,1.507,2025-01-14 12:29:59,146023.2661,71,0.226,21968.7804,0
2025-01-14 12:30:00,97198,97429.2,96500.1,97075.6,5.653,2025-01-14 12:34:59,548422.6634,88,1.897,184724.7792,0
2025-01-14 12:35:00,97000,97420,96501.1,97000.1,3.437,2025-01-14 12:39:59,333192.0509,91,2.387,231743.2584,0
2025-01-14 12:40:00,97000,97420,96501.5,97062.8,6.323,2025-01-14 12:44:59,613368.2851,122,4.103,399068.905,0
2025-01-14 12:45:00,96898,97420,96501.5,97419.9,1.517,2025-01-14 12:49:59,147450.0366,49,0.687,66914.1474,0
2025-01-14 12:50:00,97419.9,97429,96501.5,96850.4,17.075,2025-01-14 12:54:59,1659491.9584,150,9.024,879041.2722,0
2025-01-14 12:55:00,96800,97429.2,96501.5,96769.4,9.465,2025-01-14 12:59:59,920303.9177,143,5.071,493917.2518,0
2025-01-14 13:00:00,96791,97429.2,96600,97350,12.522,2025-01-14 13:04:59,1215461.3024,120,5.573,542351.6489,0
2025-01-14 13:05:00,97199.8,97429.2,96700,97429.1,10.233,2025-01-14 13:09:59,995020.3502,72,7.691,749175.8254,0
2025-01-14 13:10:00,97429.1,97429.3,96700,97429.2,12.379,2025-01-14 13:14:59,1203016.7135,141,7.407,721203.9679,0
2025-01-14 13:15:00,97429.2,97429.3,96700,96700.1,20.323,2025-01-14 13:19:59,1974301.2363,132,11.434,1113987.0288,0
2025-01-14 13:20:00,97046.1,97429,96700,96898,7.352,2025-01-14 13:24:59,713332.7804,95,3.879,377470.1021,0
2025-01-14 13:25:00,96898,97429.3,96666,97075.6,14.219,2025-01-14 13:29:59,1382568.3672,168,10.319,1005195.1933,0
2025-01-14 13:30:00,97382.7,97429.3,95866.7,96500.1,110.343,2025-01-14 13:34:59,10637905.6335,421,8.46,816489.5951,0
2025-01-14 13:35:00,96500.1,97429.3,95866.7,97079.7,12.981,2025-01-14 13:39:59,1257012.6737,451,6.173,600437.9822,0
2025-01-14 13:40:00,97429.2,97429.3,95866.7,97429.1,49.92,2025-01-14 13:44:59,4814238.6853,485,15.169,1476340.8903,0
2025-01-14 13:45:00,97429.1,97429.1,95867,96898,11.78,2025-01-14 13:49:59,1136145.481,291,2.516,244657.9532,0
2025-01-14 13:50:00,97189.2,97410,95867,96921,9.523,2025-01-14 13:54:59,919335.2268,282,2.029,196873.3862,0
2025-01-14 13:55:00,96898,97400,96362.8,96850.4,10.62,2025-01-14 13:59:59,1027964.7212,152,6.048,586053.534,0
2025-01-14 14:00:00,97198,97400,96850.4,97361,8.561,2025-01-14 14:04:59,832560.8026,138,4.808,467963.2903,0
2025-01-14 14:05:00,97000,97360.9,96850.4,97114.2,3.498,2025-01-14 14:09:59,339387.2633,58,1.131,109748.6006,0
2025-01-14 14:10:00,97001,97360.9,96866.9,97242.8,5.228,2025-01-14 14:14:59,507776.1209,62,3.751,364467.818,0
2025-01-14 14:15:00,97242.8,97360.9,95900,96946.5,19.836,2025-01-14 14:19:59,1919561.7482,192,6.351,617234.5322,0
2025-01-14 14:20:00,96946.4,97360.9,95900,96791.5,10.319,2025-01-14 14:24:59,998937.1917,151,4.854,471274.1922,0
2025-01-14 14:25:00,96863.7,97360.8,95900,96801.9,15.395,2025-01-14 14:29:59,1492150.4644,177,8.791,855026.7128,0
2025-01-14 14:30:00,96801.9,96801.9,95900,96298,6.199,2025-01-14 14:34:59,597341.3116,176,2.219,214341.3144,0
2025-01-14 14:35:00,96298,96605.9,95900,96298,6.491,2025-01-14 14:39:59,623758.5487,159,1.778,171728.7101,0
2025-01-14 14:40:00,96298,97242.8,95900.1,96741.4,4.461,2025-01-14 14:44:59,432678.0106,191,3.681,357316.6376,0
2025-01-14 14:45:00,96741.4,97299.9,95900,96683.8,9.725,2025-01-14 14:49:59,941414.7787,265,4.702,456207.7627,0
2025-01-14 14:50:00,96683.8,97299.9,96500.1,97198,19.178,2025-01-14 14:54:59,1854635.7014,194,1.7,164775.4313,0
2025-01-14 14:55:00,97075.6,97280.4,96683.8,96968.2,128.056,2025-01-14 14:59:59,12384235.5706,212,3.927,381784.5474,0
2025-01-14 15:00:00,96698.5,96968.2,96688,96933.8,2.962,2025-01-14 15:04:59,286716.5262,68,0.927,89884.5378,0
2025-01-14 15:05:00,96755.2,97000,96683.8,97000,9.097,2025-01-14 15:09:59,881232.3831,58,4.868,472006.1976,0
2025-01-14 15:10:00,96999.9,97000,96761.2,96921.9,5.294,2025-01-14 15:14:59,513407.9335,63,1.687,163608.8474,0
2025-01-14 15:15:00,96919.5,97000,96500,96961.2,10.663,2025-01-14 15:19:59,1032474.3249,208,6.366,617011.7732,0
